rep	N	n	sigma	mu	R	cov	L	ID
2	1000	10	0	1e-08	1e-08	200	1e+06	212
3	1000	10	0	1e-08	1e-08	200	1e+06	213
4	1000	10	0	1e-08	1e-08	200	1e+06	214
5	1000	10	0	1e-08	1e-08	200	1e+06	215
6	1000	10	0	1e-08	1e-08	200	1e+06	216
7	1000	10	0	1e-08	1e-08	200	1e+06	217
8	1000	10	0	1e-08	1e-08	200	1e+06	218
9	1000	10	0	1e-08	1e-08	200	1e+06	219
10	1000	10	0	1e-08	1e-08	200	1e+06	220
1	1000	25	0	1e-08	1e-08	200	1e+06	221
2	1000	25	0	1e-08	1e-08	200	1e+06	222
3	1000	25	0	1e-08	1e-08	200	1e+06	223
4	1000	25	0	1e-08	1e-08	200	1e+06	224
5	1000	25	0	1e-08	1e-08	200	1e+06	225
6	1000	25	0	1e-08	1e-08	200	1e+06	226
7	1000	25	0	1e-08	1e-08	200	1e+06	227
8	1000	25	0	1e-08	1e-08	200	1e+06	228
9	1000	25	0	1e-08	1e-08	200	1e+06	229
10	1000	25	0	1e-08	1e-08	200	1e+06	230
1	1000	50	0	1e-08	1e-08	200	1e+06	231
2	1000	50	0	1e-08	1e-08	200	1e+06	232
3	1000	50	0	1e-08	1e-08	200	1e+06	233
4	1000	50	0	1e-08	1e-08	200	1e+06	234
5	1000	50	0	1e-08	1e-08	200	1e+06	235
6	1000	50	0	1e-08	1e-08	200	1e+06	236
7	1000	50	0	1e-08	1e-08	200	1e+06	237
8	1000	50	0	1e-08	1e-08	200	1e+06	238
9	1000	50	0	1e-08	1e-08	200	1e+06	239
10	1000	50	0	1e-08	1e-08	200	1e+06	240
1	1000	100	0	1e-08	1e-08	200	1e+06	241
2	1000	100	0	1e-08	1e-08	200	1e+06	242
3	1000	100	0	1e-08	1e-08	200	1e+06	243
4	1000	100	0	1e-08	1e-08	200	1e+06	244
5	1000	100	0	1e-08	1e-08	200	1e+06	245
6	1000	100	0	1e-08	1e-08	200	1e+06	246
7	1000	100	0	1e-08	1e-08	200	1e+06	247
8	1000	100	0	1e-08	1e-08	200	1e+06	248
9	1000	100	0	1e-08	1e-08	200	1e+06	249
10	1000	100	0	1e-08	1e-08	200	1e+06	250
